match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,122,43.996,84,1.7988,0.5234,43.97,38,0.0003,0.0001,0.01,
1,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,94,29.04,33,0.0003,0.0001,0.0,61,1.6579,0.4756,29.01,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,100,34.159,61,1.3633,0.5596,34.13,39,0.0003,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,118,36.452,50,0.0002,0.0001,0.01,68,1.734,0.5356,36.42,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,36,12.054,25,1.3777,0.4818,12.04,11,0.0002,0.0002,0.0,
5,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,134,42.447,47,0.0003,0.0001,0.01,87,1.664,0.4875,42.41,
6,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,165,71.005,108,1.7144,0.6571,70.97,57,0.0003,0.0001,0.01,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,154,38.91,83,0.0003,0.0001,0.01,71,1.7172,0.5475,38.87,
