match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,2.272,15,0.6157,0.1512,2.27,3,0.0002,0.0001,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,194,58.053,82,0.0003,0.0001,0.01,112,1.798,0.5179,58.01,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,146,55.921,104,2.1329,0.5374,55.89,42,0.0003,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,146,49.64,49,0.0002,0.0001,0.01,97,1.8558,0.5114,49.61,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,72,22.808,49,1.2664,0.4651,22.79,23,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,42,15.582,11,0.0002,0.0001,0.0,31,1.2081,0.5024,15.57,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,139,44.714,91,1.9278,0.491,44.68,48,0.0003,0.0001,0.01,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,163,48.838,66,0.0002,0.0001,0.01,97,1.61,0.5031,48.8,
