match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,131,25.518,50,1.679,0.5096,25.48,81,0.0005,0.0001,0.01,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,87,36.923,31,0.0003,0.0001,0.0,56,1.5326,0.6589,36.9,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,166,49.317,82,1.8632,0.6009,49.27,84,0.0002,0.0001,0.01,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,72,30.515,19,0.0004,0.0002,0.0,53,1.8794,0.5754,30.5,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,21,4.892,18,1.0011,0.2715,4.89,3,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,161,53.453,76,0.0002,0.0001,0.01,85,1.674,0.6284,53.41,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,21,9.926,18,1.3672,0.5511,9.92,3,0.0002,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,141,45.8,64,0.0004,0.0001,0.01,77,1.8566,0.5943,45.76,
