match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,98,27.74,80,1.3301,0.3465,27.72,18,0.0003,0.0001,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,150,35.219,49,0.0004,0.0001,0.01,101,1.3379,0.3484,35.18,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,68,20.173,57,1.4947,0.3537,20.16,11,0.0002,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,43,13.555,10,0.0002,0.0001,0.0,33,1.2657,0.4104,13.54,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,54,11.055,36,1.0026,0.3068,11.04,18,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,105,25.615,29,0.0005,0.0001,0.0,76,1.2968,0.3367,25.59,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,65,17.474,43,1.4562,0.406,17.46,22,0.0003,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,154,40.31,51,0.0003,0.0001,0.01,103,1.4064,0.391,40.28,
