match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,16,1.094,12,0.3069,0.0907,1.09,4,0.0002,0.0002,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,27,3.795,11,0.0004,0.0002,0.0,16,0.6492,0.2365,3.78,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,44,8.559,34,0.7142,0.2511,8.54,10,0.0006,0.0003,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,47,10.787,15,0.0004,0.0003,0.0,32,0.916,0.3364,10.76,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,21,4.045,18,0.5538,0.2242,4.04,3,0.0002,0.0002,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,43,9.537,12,0.0004,0.0003,0.0,31,1.0344,0.307,9.52,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,43,10.3,31,1.0765,0.3316,10.28,12,0.0004,0.0003,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,21,2.286,7,0.0002,0.0002,0.0,14,0.6214,0.1627,2.28,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,83,38.035,62,12.6351,0.612,37.94,21,0.0007,0.0003,0.01,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,38,5.943,14,0.0003,0.0002,0.0,24,0.9418,0.247,5.93,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,47,11.033,34,0.9907,0.3239,11.01,13,0.0004,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,40,5.433,15,0.0003,0.0002,0.0,25,0.5741,0.2166,5.42,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,41,20.51,33,12.1887,0.6208,20.49,8,0.0006,0.0002,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,65,27.195,19,0.0004,0.0002,0.0,46,12.842,0.5906,27.17,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,64,30.182,48,12.4095,0.6272,30.11,16,0.0006,0.0003,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,24,3.38,8,0.0003,0.0002,0.0,16,0.6132,0.2106,3.37,
