match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,194,28.808,99,1.2005,0.2904,28.74,95,0.0003,0.0002,0.02,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,138,32.098,47,0.0003,0.0001,0.01,91,1.2005,0.3523,32.06,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,121,23.168,68,1.0277,0.3402,23.13,53,0.0002,0.0001,0.01,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,139,25.384,55,0.0003,0.0001,0.01,84,1.2002,0.3017,25.34,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,112,18.592,64,0.8376,0.29,18.56,48,0.0004,0.0001,0.01,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,134,25.49,60,0.0003,0.0001,0.01,74,1.2004,0.3439,25.45,
6,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,174,38.654,101,1.1434,0.3821,38.6,73,0.0004,0.0002,0.01,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,151,25.089,71,0.0003,0.0001,0.01,80,0.9596,0.313,25.04,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,37,4.648,31,0.6625,0.1496,4.64,6,0.0002,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,135,25.549,47,0.0008,0.0001,0.01,88,1.0443,0.2899,25.51,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,90,19.007,78,1.0475,0.2434,18.98,12,0.0003,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,47,11.626,11,0.0002,0.0001,0.0,36,0.833,0.3226,11.61,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,186,38.355,126,0.9417,0.304,38.31,60,0.0003,0.0001,0.01,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,89,17.417,17,0.0002,0.0001,0.0,72,0.771,0.2416,17.39,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,133,20.433,77,0.8652,0.2649,20.4,56,0.0002,0.0001,0.01,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,205,24.386,90,0.0003,0.0001,0.01,115,0.696,0.2116,24.34,
