match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,30,11.58,25,1.4242,0.4629,11.57,5,0.0003,0.0002,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,42,23.926,13,0.0003,0.0001,0.0,29,1.9039,0.8246,23.91,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,25,10.172,20,1.3623,0.5083,10.17,5,0.0002,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,32,12.341,8,0.0002,0.0001,0.0,24,1.193,0.5138,12.33,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,67,30.227,54,1.9538,0.5594,30.21,13,0.0003,0.0002,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,19,6.488,4,0.0002,0.0001,0.0,15,0.9198,0.4322,6.48,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,35,11.009,23,1.178,0.4783,11.0,12,0.0002,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,20,4.368,11,0.0002,0.0001,0.0,9,1.0098,0.4846,4.36,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,30,8.579,27,1.2402,0.3174,8.57,3,0.0002,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,24,11.145,5,0.0003,0.0001,0.0,19,1.7917,0.5863,11.14,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,33,13.353,30,1.2556,0.4448,13.34,3,0.0002,0.0001,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,42,12.766,9,0.0002,0.0001,0.0,33,1.2471,0.3865,12.75,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,36,12.433,27,1.3474,0.4601,12.42,9,0.0002,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,53,22.215,9,0.0002,0.0001,0.0,44,1.6359,0.5046,22.2,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,24,7.254,20,0.9654,0.3624,7.25,4,0.0002,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,52,19.051,6,0.0002,0.0001,0.0,46,1.0614,0.4139,19.04,
